Species name,Habitat,EIPref,Category,Posterior prob,Pattern Label,DEI opt,mean abundance,median abundance,fragmentation impact,EI sensitivity,dataset rating
Protopeltis viridescens,Forest Ds,Edge T1 highside,Forest Edge,1.000000000000,405.000000000000,500.000000000000,0.520876929337,0.212907956301,0.938036852975,0.708352646369,1.000000000000
Cis sp.2,Forest Sp,noPref inf,Forest noPref,1.000000000000,527.000000000000,500.000000000000,0.566298622911,0.048117973240,0.321923811100,0.447159173048,1.000000000000
Ctenicera sp.4,Matrix Ds,Edge T2 lowside,Matrix Edge,0.999999999988,835.000000000000,500.000000000000,1.722745297370,0.768248371582,0.722837895548,0.597831725264,1.000000000000
Epuraea sp.,Forest Sp,Core 0,Forest Core,0.999999999918,295.000000000000,500.000000000000,0.856881759156,0.000000000000,0.425684866465,0.560399975965,1.000000000000
Mesocolon sp.1,Forest Ds,noPref inf,Forest noPref,1.000000000000,584.000000000000,500.000000000000,0.504977970294,0.162669091203,0.279435564516,0.455920960300,1.000000000000
Ptiliidae sp.1,Forest,Edge T3 overflow,Forest Edge,1.000000000000,1183.000000000000,500.000000000000,1.932733208223,1.420089863407,0.641942891349,0.456641148872,1.000000000000
Melanophthalma sp.4,Forest Sp,Core 0,Forest Core,1.000000000000,478.000000000000,500.000000000000,9.298319229521,0.799015406794,0.361942600582,0.524682637406,1.000000000000
Melanophthalma sp.6,Forest Ds,noPref inf,Forest noPref,1.000000000000,584.000000000000,500.000000000000,2.943618125200,0.177398476023,0.137514519471,0.378594324069,1.000000000000
Aleocharinae sp.12,Forest Sp,Edge T1 highside,Forest Edge,0.999999993445,346.000000000000,500.000000000000,0.549145952347,0.035832380213,0.953855026580,0.751593653777,1.000000000000
Sericospilus advena,Forest Sp,Core 0,Forest Core,0.975461169467,298.000000000000,500.000000000000,0.545161071191,0.057164125897,0.281943387879,0.503660194978,1.000000000000
Costelytra zealandicum,Matrix Sp,Core 0,Matrix Core,0.999999996120,1065.000000000000,500.000000000000,2.152869984517,1.786664993580,0.547483106324,0.495757715940,1.000000000000
Nestrius sp.4,Forest,Edge T2 overflow,Forest Edge,0.999999999998,1187.000000000000,500.000000000000,1.282558642341,0.501653322984,0.831656382415,0.522194304169,1.000000000000
Scraptogetus nr. anthracinus,Matrix Ds,Core 0,Matrix Core,0.989685156102,1124.000000000000,500.000000000000,1.575325183815,1.260100737316,0.633214379974,0.538490724456,1.000000000000
Dasytes sp.1,Matrix vDs,Edge T3 lowside,Matrix Edge,0.988308634929,1015.000000000000,500.000000000000,3.369663455546,3.587435468685,0.469209564517,0.536223219857,1.000000000000
